date,value
2020-01-05,24
2020-01-12,24
2020-01-19,28
2020-01-26,27
2020-02-02,59
2020-02-09,23
2020-02-16,18
2020-02-23,23
2020-03-01,22
2020-03-08,28
2020-03-15,37
2020-03-22,39
2020-03-29,32
2020-04-05,32
2020-04-12,29
2020-04-19,28
2020-04-26,22
2020-05-03,22
2020-05-10,25
2020-05-17,25
2020-05-24,23
2020-05-31,27
2020-06-07,23
2020-06-14,19
2020-06-21,22
2020-06-28,16
2020-07-05,20
2020-07-12,26
2020-07-19,23
2020-07-26,27
2020-08-02,28
2020-08-09,43
2020-08-16,31
2020-08-23,35
2020-08-30,31
2020-09-06,51
2020-09-13,35
2020-09-20,37
2020-09-27,80
2020-10-04,55
2020-10-11,43
2020-10-18,46
2020-10-25,41
2020-11-01,51
2020-11-08,45
2020-11-15,27
2020-11-22,17
2020-11-29,15
2020-12-06,16
2020-12-13,15
2020-12-20,13
2020-12-27,11
2021-01-03,32
2021-01-10,36
2021-01-17,36
2021-01-24,16
2021-01-31,16
2021-02-07,18
2021-02-14,17
2021-02-21,9
2021-02-28,13
2021-03-07,8
2021-03-14,8
2021-03-21,9
2021-03-28,6
2021-04-04,5
2021-04-11,5
2021-04-18,4
2021-04-25,6
2021-05-02,23
2021-05-09,12
2021-05-16,9
2021-05-23,7
2021-05-30,8
2021-06-06,10
2021-06-13,7
2021-06-20,4
2021-06-27,12
2021-07-04,10
2021-07-11,13
2021-07-18,9
2021-07-25,12
2021-08-01,8
2021-08-08,8
2021-08-15,5
2021-08-22,6
2021-08-29,6
2021-09-05,7
2021-09-12,10
2021-09-19,8
2021-09-26,8
2021-10-03,6
2021-10-10,8
2021-10-17,8
2021-10-24,7
2021-10-31,6
2021-11-07,6
2021-11-14,4
2021-11-21,7
2021-11-28,6
2021-12-05,6
2021-12-12,6
2021-12-19,6
2021-12-26,4
2022-01-02,9
2022-01-09,9
2022-01-16,9
2022-01-23,6
2022-01-30,6
2022-02-06,6
2022-02-13,7
2022-02-20,6
2022-02-27,9
2022-03-06,7
2022-03-13,7
2022-03-20,6
2022-03-27,6
2022-04-03,4
2022-04-10,5
2022-04-17,6
2022-04-24,7
2022-05-01,6
2022-05-08,6
2022-05-15,5
2022-05-22,7
2022-05-29,5
2022-06-05,11
2022-06-12,26
2022-06-19,17
2022-06-26,18
2022-07-03,11
2022-07-10,12
2022-07-17,10
2022-07-24,9
2022-07-31,7
2022-08-07,10
2022-08-14,11
2022-08-21,7
2022-08-28,8
2022-09-04,6
2022-09-11,7
2022-09-18,9
2022-09-25,6
2022-10-02,10
2022-10-09,9
2022-10-16,7
2022-10-23,7
2022-10-30,7
2022-11-06,10
2022-11-13,8
2022-11-20,5
2022-11-27,3
2022-12-04,5
2022-12-11,4
2022-12-18,9
2022-12-25,6
2023-01-01,4
2023-01-08,4
2023-01-15,5
2023-01-22,5
2023-01-29,5
2023-02-05,8
2023-02-12,4
2023-02-19,4
2023-02-26,5
2023-03-05,6
2023-03-12,6
2023-03-19,7
2023-03-26,9
2023-04-02,11
2023-04-09,5
2023-04-16,6
2023-04-23,4
2023-04-30,4
2023-05-07,11
2023-05-14,5
2023-05-21,2
2023-05-28,4
2023-06-04,6
2023-06-11,9
2023-06-18,6
2023-06-25,6
2023-07-02,3
2023-07-09,4
2023-07-16,4
2023-07-23,5
2023-07-30,12
2023-08-06,8
2023-08-13,8
2023-08-20,14
2023-08-27,9
2023-09-03,6
2023-09-10,4
2023-09-17,7
2023-09-24,6
2023-10-01,7
2023-10-08,5
2023-10-15,7
2023-10-22,7
2023-10-29,6
2023-11-05,8
2023-11-12,6
2023-11-19,4
2023-11-26,4
2023-12-03,6
2023-12-10,5
2023-12-17,6
2023-12-24,4
2023-12-31,7
2024-01-07,10
2024-01-14,6
2024-01-21,10
2024-01-28,8
2024-02-04,8
2024-02-11,7
2024-02-18,10
2024-02-25,8
2024-03-03,9
2024-03-10,10
2024-03-17,8
2024-03-24,16
2024-03-31,14
2024-04-07,11
2024-04-14,13
2024-04-21,8
2024-04-28,8
2024-05-05,16
2024-05-12,12
2024-05-19,11
2024-05-26,18
2024-06-02,15
2024-06-09,7
2024-06-16,9
2024-06-23,100
2024-06-30,81
2024-07-07,30
2024-07-14,39
2024-07-21,26
2024-07-28,21
2024-08-04,27
2024-08-11,31
2024-08-18,27
2024-08-25,22
2024-09-01,20
2024-09-08,76
2024-09-15,37
2024-09-22,23
2024-09-29,28
2024-10-06,33
2024-10-13,24
2024-10-20,33
2024-10-27,32
2024-11-03,56
2024-11-10,21
2024-11-17,12
2024-11-24,13
2024-12-01,13
2024-12-08,10
2024-12-15,12
2024-12-22,7
2024-12-29,12
2025-01-05,12
2025-01-12,8
2025-01-19,28
2025-01-26,24
2025-02-02,20
2025-02-09,18
2025-02-16,26
2025-02-23,22
2025-03-02,43
2025-03-09,19
2025-03-16,17
2025-03-23,15
2025-03-30,16
2025-04-06,17
2025-04-13,21
2025-04-20,15
